32,badinage, frivolous banter,"Badinage can also refer to playful repartee, or banter.",hard
33,baffled, a flat plate that controls or directs the flow of fluid or energy,The most common type of baffle is the segmental baffle.,hard
34,baffling, a flat plate that controls or directs the flow of fluid or energy,The most common type of baffle is the segmental baffle.,hard
35,baffle, a flat plate that controls or directs the flow of fluid or energy,The most common type of baffle is the segmental baffle.,hard
36,baffler, a flat plate that controls or directs the flow of fluid or energy,The most common type of baffle is the segmental baffle.,hard
37,bagasse, the dry dusty pulp that remains after juice is extracted from sugar cane or similar plants,Electricity generation from bagasse.,hard
38,baggily, not fitting closely; hanging loosely,"Without the baggies, the gun will then be a loose fit in the holster.",hard
39,baggy, not fitting closely; hanging loosely,"Without the baggies, the gun will then be a loose fit in the holster.",hard
40,bagman," a salesman who travels to call on customers
",Bagman appears in the video game as a Quidditch announcer.,hard
41,bagnio," a building where prostitutes are available
",He successfully persuaded Clarges to allow Toft to remain at the bagnio.,hard
42,bagpipe, a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone,The use of muffled drums and bagpipes are common as well.,hard
43,bagpiper, someone who plays the bagpipe,The use of muffled drums and bagpipes are common as well.,hard
44,baguet, narrow French stick loaf,,hard
45,baguette, narrow French stick loaf,The first baguette cut diamonds made an appearance.,hard
46,bailable," admitting of bail
",All other offences are non bailable.,hard
47,bailee, the agent to whom property involved in a bailment is delivered,Liability to the third bailee was not transferable.,hard
48,bailey," United States singer (1918-1990)
",The curator of the exhibition was David Bailey.,hard
49,bailiff, an officer of the court who is employed to execute writs and processes and make arrests etc.,The Deputy Bailiff preside in the assembly.,hard
50,bailment, the delivery of personal property in trust by the bailor to the bailee,Still the case turned on the question of bailment.,hard
51,bailor, the person who delivers personal property (goods or money) in trust to the bailee in a bailment,Bailor finished out the game at pitcher.,hard
52,bairn, a child: son or daughter,I remember reading them as a wee bairn.,hard
53,baize, a bright green fabric napped to resemble felt; used to cover gaming tables,Baize is a coarse woollen cloth.,hard
54,bakshish, a relatively small amount of money given for services rendered (as by a waiter),,hard
55,balancer," an acrobat who balances himself in difficult positions
",The balance was asymmetric.,hard
56,baldhead, a person whose head is bald,Baldhead was once renowned as a medical genius.,hard
57,baldpate," a person whose head is bald
",,hard
58,baldric, a wide (ornamented) belt worn over the right shoulder to support a sword or bugle by the left hip,A sash is not the same as a baldric.,hard
59,baldwin," United States author who was an outspoken critic of racism (1924-1987)
",Ida was the mother of Godfrey of Bouillon and of King Baldwin I of Jerusalem.,hard
60,bale," a large bundle bound for storage or transport
",The bale of the padlock is received in holes in the bale support members.,hard
61,baled," a large bundle bound for storage or transport
",The bale of the padlock is received in holes in the bale support members.,hard
62,baling," a large bundle bound for storage or transport
",The bale of the padlock is received in holes in the bale support members.,hard
63,baleen, a horny material from the upper jaws of certain whales; used as the ribs of fans or as stays in corsets,The Blue Whale is a marine mammal belonging to the suborder of baleen whales.,hard
64,balefire, a large outdoor fire that is lighted as a signal or in celebration,There are four books in the Balefire series.,hard
65,baleful," deadly or sinister
",The bale of the padlock is received in holes in the bale support members.,hard
66,balk," the area on a billiard table behind the balkline
",The protesters are balking against the government.,hard
67,balked," the area on a billiard table behind the balkline
",The protesters are balking against the government.,hard
68,balking," the area on a billiard table behind the balkline
",The protesters are balking against the government.,hard
69,balker," the area on a billiard table behind the balkline
",The protesters are balking against the government.,hard
70,balky, stopping short and refusing to go on,In this case it was a single balky server.,hard
71,ballade, a poem consisting of 3 stanzas and an envoy,It was the first ballad of the singer.,hard
72,ballista, an engine that provided medieval artillery used during sieges; a heavy war engine for hurling large stones and other missiles,The difference between the two is the use of torsion power by the ballista.,hard
73,balmily," informal or slang terms for mentally irregular
",The short spring and autumn seasons usually are mild and balmy.,hard
74,balmoral," a sturdy laced walking shoe
",The name of the racetrack was changed to Balmoral Park.,hard
75,balmy," informal or slang terms for mentally irregular
",The short spring and autumn seasons usually are mild and balmy.,hard
76,balsa," strong lightweight wood of the balsa tree used especially for floats
",Even solid balsa surfboards are available.,hard
77,balsam," any seed plant yielding balsam
",The balsam fir is the provincial tree of New Brunswick.,hard
78,balsamic," any seed plant yielding balsam
",The balsam fir is the provincial tree of New Brunswick.,hard
79,baltic," a sea in northern Europe; stronghold of the Russian navy
",The oak is a tree of the thunder god in the Baltic mythology.,hard
80,baluster, one of a number of closely spaced supports for a railing,Should this link to Baluster somewhere.,hard
81,bambino, a young child,Or the Curse of the Curse of the Bambino ,hard
82,banal, repeated too often; overfamiliar through overuse,The banality of evil is only banal to those who never see it.,hard
83,banality, a trite or obvious remark,The banality of evil is only banal to those who never see it.,hard
84,bandage, a piece of soft material that covers and protects an injured part of the body,This is just as important as the bandage and the flower.,hard
85,bandaged, a piece of soft material that covers and protects an injured part of the body,This is just as important as the bandage and the flower.,hard
86,bandanna, large and brightly colored handkerchief; often used as a neckerchief,"In the game, his bandanna is blue, but in the anime it is yellow.",hard
87,bandana, large and brightly colored handkerchief; often used as a neckerchief,"In the game, his bandanna is blue, but in the anime it is yellow.",hard
88,bandbox, a light cylindrical box for holding light articles of attire (especially hats),,hard
89,bandeau, an undergarment worn by women to support their breasts,I also liked the idea of having a bandeau.,hard
90,bandelet, molding in the form of a ring; at top of a column,,hard
91,bandlet, molding in the form of a ring; at top of a column,The column of blast cells arising out of each teloblast is known as a bandlet.,hard
92,bandits, an armed thief who is (usually) a member of a band,It is the sequel to the 1977 film Smokey and the Bandit.,hard
93,banditti, an armed thief who is (usually) a member of a band,It is the sequel to the 1977 film Smokey and the Bandit.,hard
94,bandit, an armed thief who is (usually) a member of a band,It is the sequel to the 1977 film Smokey and the Bandit.,hard
95,bandy," toss or strike a ball back and forth
",None of them spoke but furtive glances were bandied back and forth.,hard
96,bane, something causing misery or death,Religion is the bane of mankind.,hard
97,baneful," exceedingly harmful
",Religion is the bane of mankind.,hard
98,bangle," jewelry worn around the wrist for decoration
",The bangle peddler went to the house and began to shout for money.,hard
99,banian," East Indian tree that puts out aerial shoots that grow down into the soil forming additional trunks
",Men wore a white sarong and a red striped banian.,hard
100,banished," expel from a community or group
",The exile was to banish all the people.,hard
101,banish," expel from a community or group
",The exile was to banish all the people.,hard
102,banisher," expel from a community or group
",The exile was to banish all the people.,hard
103,banister, a railing at the side of a staircase or balcony to prevent people from falling,The grand staircase features a banister created by the man.,hard
104,bankable," guaranteed to bring a profit
",He wasn't the most bankable of artists.,hard
105,banneret, a knight honored for valor; entitled to display a square banner and to hold higher command,A better comparison would be to a banneret.,hard
106,bannock, a flat bread made of oat or barley flour; common in New England and Scotland,The Bannock are prominent in American history due to the Bannock ar of 1878.,hard
107,banns, a public announcement of a proposed marriage,They are part of the Bann culture assemblage.,hard
108,banshee, a female spirit who wails to warn of impending death,"In later stories, the appearance of the banshee could foretell the death.",hard
109,banshie, a female spirit who wails to warn of impending death,,hard
110,bantam, any of various small breeds of fowl,"It's not Bantam this time, though.",hard
111,banteng, wild ox of the Malay Archipelago,Conservation value of Australian banteng population.,hard
112,banyan," East Indian tree that puts out aerial shoots that grow down into the soil forming additional trunks
",Banyan Elementary is the home of the Bobcats.,hard
113,baobab, African tree having an exceedingly thick trunk and fruit that resembles a gourd and has an edible pulp called monkey bread,A typical common name is baobab.,hard
114,baptist, follower of Baptistic doctrines,The Baptists found this intolerable.,hard
115,barbacan, a tower that is part of a defensive structure (such as a castle),"On the opposite side, the gate is protected by the Saint Louis barbacan.",hard
116,barbados," a parliamentary democracy on the island of Barbados; former British colony; a popular resort area
",The Barbados Labour Party is the main opposition party of Barbados.,hard
117,barbary, a region of northern Africa on the Mediterranean coast between Egypt and Gibraltar; was used as a base for pirates from the 16th to 19th centuries,It is able to interbreed with the Barbary Dove.,hard
118,barbate, having hair on the cheeks and chin,How to make barbat's resonating body.,hard
119,barbel, slender tactile process on the jaws of a fish,There are four pairs of barbel anatomy barbels.,hard
120,barberry, any of numerous plants of the genus Berberis having prickly stems and yellow flowers followed by small red berries,The crest is a sprig of barberry.,hard
121,barbet, small brightly colored stout-billed tropical bird having short weak wings,Barbets are near passerine birds with bristles around the base of the bill.,hard
122,barbette, a mound of earth inside a fort from which heavy gun can be fired over the parapet,"Sumter, to prevent the working of the barbette guns and to dismount them.",hard
123,barbican, a tower that is part of a defensive structure (such as a castle),The road to the castle surmounts the moat and barbican across a baroque bridge.,hard
124,bard," a lyric poet
",The monument features a statue of The Bard.,hard
125,barde, put a caparison on,The monument features a statue of The Bard.,hard
126,bardic," a lyric poet
",The monument features a statue of The Bard.,hard
127,bareness," a bleak and desolate atmosphere
",The bare facts are in the treaty.,hard
128,bargee, someone who operates a barge,,hard
129,bargeman, someone who operates a barge,Cooper was a bargeman with a fearful reputation.,hard
130,baric, of or relating to or containing barium,Here are a couple of links to a phenomena called kineto baric effects.,hard
131,barilla," bushy plant of Old World salt marshes and sea beaches having prickly leaves; burned to produce a crude soda ash
","At the current time, the pasta is sold to Barilla.",hard
132,barite, a white or colorless mineral (BaSO4); the main source of barium,BaSO4 is available as the common mineral barite.,hard
133,barium, a soft silvery metallic element of the alkali earth group; found in barite,Barium bromide is the chemical compound with the formula BaBr2.,hard
134,barque, a sailing ship with 3 (or more) masts,"The gale of 1733 shattered the bridge, sinking the barques supporting it.",hard
135,barker," someone who stands in front of a show (as at a carnival) and gives a loud colorful sales talk to potential customers
",She is the daughter of the poet George Barker and the novelist Elspeth Barker.,hard
136,barm, a commercial leavening agent containing yeast cells; used to raise the dough in making bread and for fermenting beer or whiskey,It is also sometimes served on a savoury barm cake.,hard
137,barmaid, a female bartender,He observed Bryan as the barmaid.,hard
138,barnacle," marine crustaceans with feathery food-catching appendages; free-swimming as larvae; as adults form a hard shell and live attached to submerged surfaces
",This is a low moment for the Barnacle.,hard
139,barnyard, a yard adjoining a barn,Everett is the oldest animal on the barnyard.,hard
140,baron," a nobleman (in various countries) of varying rank
",Rogge is attempting to deify the Baron.,hard
141,baronage, the peers of a kingdom considered as a group,In 1691 he was raised further to baronage.,hard
142,baroness, a noblewoman who holds the rank of baron or who is the wife or widow of a baron,The first Independent Adjudicator was Baroness Ruth Deech.,hard
143,baronet, a member of the British order of honor; ranks below a baron but above a knight,The fourth Baronet was a Brigadier in the Army.,hard
144,baronial, impressive in appearance,The baronial title is an allusion to the series.,hard
145,barony," the estate of a baron
",The baronial title is an allusion to the series.,hard
146,barouche, a horse-drawn carriage having four wheels; has an outside seat for the driver and facing inside seats for two couples and a folding top,A barouche sociable was described as a cross between a barouche and a victoria.,hard
147,barrack, a building or group of buildings used to house military personnel,He deserved to be barracked at.,hard
148,barrator, someone guilty of barratry,,hard
149,barratry," traffic in ecclesiastical offices or preferments
",This is nothing more than barratry and forum shopping.,hard
150,barroom, a room or establishment where alcoholic drinks are served over a counter,Good friend to have in a barroom brawl.,hard
151,barth," Swiss Protestant theologian (1886-1968)
",Barth also agreed with the Dogma of the Virgin Birth.,hard
152,bartlett," United States explorer who accompanied Peary's expedition to the North Pole and who led many other Arctic trips (1875-1946)
",Bruce Bartlett traces the beginning of debasement to the reign of Nero.,hard
153,baryta, any of several compounds of barium,"Also known as baryta, it is one of the principal compounds of barium.",hard
154,barytes, a white or colorless mineral (BaSO4); the main source of barium,Barytes has varied usage and is a valuable mineral.,hard
155,barytic, of or relating to or containing baryta,Barytes has varied usage and is a valuable mineral.,hard
156,barytone, a male singer,,hard
157,basalt, the commonest type of solidified lava; a dense dark grey fine-grained igneous rock that is composed chiefly of plagioclase feldspar and pyroxene,The Himmeldunkberg comprises mainly of the volcanic rocks basalt and tuff.,hard
158,basaltic, the commonest type of solidified lava; a dense dark grey fine-grained igneous rock that is composed chiefly of plagioclase feldspar and pyroxene,The Himmeldunkberg comprises mainly of the volcanic rocks basalt and tuff.,hard
159,bascule, a structure or device in which one end is counterbalanced by the other (on the principle of the seesaw),Development of the bascule bridge.,hard
160,baseborn," of low birth or station (`base' is archaic in this sense)
",,hard
161,baseless, without a basis in reason or fact,The accusations of misogyny are baseless.,hard
162,baseness, unworthiness by virtue of lacking higher values,These bases squat in between the other base and the flyer.,hard
163,bashful," self-consciously timid- Ezra Pound
",Shy Bowel is sometimes called Bashful Bowel.,hard
164,basidium, a small club-shaped structure typically bearing four basidiospores at the ends of minute projections; unique to basidiomycetes,A view of the active basidium in heterobasidiomycetes.,hard
165,basify, turn basic and less acidic,,hard
166,basilar, of or relating to or located at the base,Posterior to the clivus is the basilar artery.,hard
167,basilary, of or relating to or located at the base,,hard
168,basilica," an early Christian church designed like a Roman basilica; or a Roman Catholic church or cathedral accorded certain privileges
",The house is now the rectory of the Basilica.,hard
169,basilisk," a serpent (or lizard or dragon) able to kill with its breath or glance
",He pecks out the eyes of the basilisk.,hard
170,basined, enclosed in a basin,The drainage basin to the east is the Powder River basin.,hard
171,basinet, a medieval steel helmet,The term is also written as bassinet or basinet.,hard
172,basked," derive or receive pleasure from; get enjoyment from; take pleasure in
","In the meantime, he can bask in the glow of his many awards.",hard
173,basking," derive or receive pleasure from; get enjoyment from; take pleasure in
","In the meantime, he can bask in the glow of his many awards.",hard
174,bask," derive or receive pleasure from; get enjoyment from; take pleasure in
","In the meantime, he can bask in the glow of his many awards.",hard
175,basketry, the craft of basket making,Achomawi basketry was of the twined type.,hard
176,basque," a member of a people of unknown origin living in the western Pyrenees in France and Spain
",Aide was the Basque numenistic deity of the air.,hard
177,basset, smooth-haired breed of hound with short legs and long ears,It's probably closer to the Basset Hound.,hard
178,bassinet," a basket (usually hooded) used as a baby's bed
",The term is also written as bassinet or basinet.,hard
179,basso," an adult male singer with the lowest voice
",Basso continuo in recitativi secchi is made of cembalo and violoncello.,hard
